Код товара,Автор,Название,Обложка,Рейтинг,Стикеры,Наличие,Цена,Описание,Издательство:,Год издания:,Место издания:,Язык текста:,Тип обложки:,Формат:,Размеры в мм (ДхШхВ):,Вес:,Страниц:,Тираж:,Код товара:,Артикул:,ISBN:,В продаже с:,Возраст:,Тиснение:,Бумага:,Обрез:,Иллюстрации:,Язык оригинала:,Перевод:,Производитель:,Год производства:,Место производства:,Иллюстраторы:
982096,Достоевский Ф. М.,Дневник писателя,https://moscowbooks.ru/image/book/150/w259/i150372.jpg,0,,True,88 руб.,"В книге содержатся отрывки и афоризмы из ""Дневника писателя"", которые раскрывают мировоззрение Ф.М. Достоевского, его общественно-политические взгляды на Россию и Европу. Здесь же представлены мысли писателя о величии национального духа, родного языка и русской культуры. Книга выполнена в миниварианте.",Янтарный сказ,2005,Калининград,русский,Твердый переплет,70х90 1/64,,75 гр.,144,5000 экз.,982096,,5-7406-0937-5,19.03.2019,,,,,,,,,,,
981645,Достоевский Ф. М.,Братья Карамазовы,https://moscowbooks.ru/image/book/648/w259/i648456.jpg,0,,True,403 руб.,"""Братья Карамазовы"" — итоговый роман Ф.М. Достоевского, в нем сконцентрировались вся художественная мощь писателя и глубина прозрений религиозного мыслителя. ""Братья Карамазовы"" — это итоговое произведение, в котором испепеляющая страсть, борьба за наследство, богоискательство выводят на глобальные вопросы о самой сущности человека, о его природе. Каждый характер, как бы сложен он ни был, у Достоевского предстает некой частью одной, почти безграничной картины — это картина многогранной человеческой души, и в этой душе, и за эту душу идет нескончаемая битва добра и зла.",Эксмо,2019,Москва,русский,Твердый переплет+суперобложка,84х108 1/32,200x130x45,730 гр.,896,3000 экз.,981645,ITD000000000953061,978-5-04-100921-2,15.03.2019,,,,,,,,,,,
980091,Достоевский Ф. М.,Братья Карамазовы,https://moscowbooks.ru/image/book/647/w259/i647201.jpg,0,,True,487 руб.,"«Братья Карамазовы» (1879–1880), последний, самый объемный и один из наиболее известных романов Ф. М. Достоевского, обращают читателя к вневременным нравственно-философским вопросам о грехе, воздаянии, сострадании и милосердии. Книга, которую сам писатель определил как «роман о богохульстве и опровержении его», явилась попыткой «решить вопрос о человеке», «разгадать тайну» человека, что, по Достоевскому, означало «решить вопрос о Боге». Сквозь призму почти детективной истории о жестоком убийстве главы провинциальной семьи Карамазовых автор повествует об извечной борьбе Божественного и дьявольского в человеческой душе. Один из самых глубоких в мировой литературе опытов отражения христианского сознания, «Братья Карамазовы» стали в XX веке объектом парадоксальных философских и психоаналитических интерпретаций.",Азбука; Азбука-Аттикус,2019,СПб,русский,Твердый переплет,60х90 1/16,215x145x39,850 гр.,832,3000 экз.,980091,А0000017071,978-5-389-15519-0,04.03.2019,,,,,,,,,,,
964356,Достоевский Ф. М.,Малое собрание сочинений,https://moscowbooks.ru/image/book/634/w259/i634232.jpg,0,,True,6 318 руб.,"О великом русском писателе Ф. М. Достоевском уже полтора века говорят не только литературоведы, но и философы, культурологи и социологи, в его богословских идеях находят что-то близкое для себя православные, католики и протестанты... Достоевский был ницшеанцем до Ницше, экзистенциалистом до Сартра, фрейдистом до Фрейда — спектр философских идей у него необычайно широк! Это тем более удивительно, что за всю жизнь Достоевский не создал ни одного философского или богословского трактата и материал для суждений берется именно из его романов и повестей. Мировую славу писателя определили пять романов: «Преступление и наказание», «Идиот», «Бесы», «Подросток», «Братья Карамазовы». Но не менее интересны и другие романы и повести — первооснова так называемого Великого Пятикнижия Достоевского, его идеологическая подготовка, источник ставших впоследствии устойчивыми мотивов и образов... Такие произведения и представлены в настоящем издании. Вниманию читателей предлагаются «Двойник», «Белые ночи», «Неточка Незванова», «Униженные и оскорбленные» и «Записки из подполья» — произведения, положившие начало мучительным раздумьям Достоевского над «тайной человека» и важнейшими для человечества вопросами. Вариации историй о бедном чиновнике, трагедия нищеты, вырастающая в трагедию оскорбленного достоинства; раздвоенность личности и черты угнетателя, проступающие в угнетенном; дисгармония ума и чувства; идея «хрустального дворца», грядущего рая и страдания тех, кто станет лишь «материалом» для него, — все это на фоне Петербурга, по-достоевски прозаического и одновременно призрачного…Ограниченный тираж.",,2018,СПб,русский,Кожаный переплет,60х90 1/16,215x145x50,900 гр.,800,,964356,,,27.11.2018,,Углубленное тиснение (красочное плоскоуглубленное изображение),Офсетная,Рисованный,,,,,,,
956575,Достоевский Ф. М.,Идиот,https://moscowbooks.ru/image/book/627/w259/i627395.jpg,0,,False,250 руб.,"Ф.М. Достоевский (1821-1881) – русский  писатель, чье творчество оказало существенное влияние не только на русскую, но и на мировую культуру.	В. Г. Белинский считал, что ""его талант принадлежит к разряду тех, которые постигаются и признаются не вдруг. Много, в продолжение его поприща, явится талантов, которых будут противопоставлять ему, но кончится тем, что о них забудут именно в то время, когда он достигнет апогея своей славы"".	Достоевский писал: ""Давно уже мучила меня одна мысль, но я боялся из неё сделать роман, потому что мысль слишком трудная и я к ней не приготовлен, хотя мысль вполне соблазнительная и я люблю её. Идея эта — изобразить вполне прекрасного человека. Труднее этого, по-моему, быть ничего не может, в наше время особенно"".	Двадцатишестилетний князь Лев Николаевич Мышкин возвращается в Россию из санатория в Швейцарии, где провёл на лечении несколько лет.",АСТ,2018,Москва,русский,Твердый переплет,84х108 1/32,,,640,3000 экз.,956575,ASE000000000838465,"978-5-17-110413-9,978-5-17-110415-3",05.11.2018,12 +,,,,,,,,,,
956576,Достоевский Ф. М.,Преступление и наказание,https://moscowbooks.ru/image/book/627/w259/i627396.jpg,0,,False,250 руб.,"""Преступление и наказание"" (1866) Фёдора Михайловича Достоевского (1821-1881) - это социально-психологический роман с ярко выраженным философским подтекстом. Критик и публицист Василий Розанов писал: """"Преступление и наказание"" - самое законченное в своей форме и глубокое по содержанию произведение Достоевского, в котором он выразил свой взгляд на природу человека, его назначение и законы, которым он подчинён как личность..."" Герой романа – Родион Раскольников – студент, который ""задавлен бедностью"". Он поддался популярным в то время идеям о том, что все люди делятся на ""тварей дрожащих"" и ""наполеонов"". Так он решается на убийство злой и жадной старухи-процентщицы, чтобы разом изменить свою судьбу и поправить положение своей семьи. Философия вступает в конфликт с совестью и душевным состоянием героя: он не в силах справиться с тяжким бременем преступления.",АСТ,2018,Москва,русский,Твердый переплет,84х108 1/32,,,638,4000 экз.,956576,ASE000000000833735,"978-5-17-105906-4,978-5-17-105903-3",05.11.2018,12 +,,,,,,,,,,
952785,Достоевский Ф. М.,Бедные люди,https://moscowbooks.ru/image/book/624/w259/i624364.jpg,0,,True,144 руб.,"В этот сборник вошли два ранних произведения Достоевского — «Бедные люди» и «Двойник», которые ознаменовали рождение будущего великого романиста.«Бедные люди» — дебютный роман писателя. После его прочтения В. Г. Белинский писал, что Достоевский «имя совершенно неизвестное и новое, но которому, кажется, суждено играть значительную роль в нашей литературе». Трогательная история любви мелкого чиновника Макара Девушкина и Вареньки Доброселовой раскрывает вечную тему «маленького человека». Несмотря на внутреннюю красоту и благородство души они не способны переломить обстоятельства и обречены на страдание в этом жестоком мире.В повести «Двойник» дан глубокий психологический анализ расколотого сознания и блестяще разработана тема двойничества — человеческого «я» и его тени. Драма господина Голядкина, разворачивающаяся на фоне оживленных улиц Петербурга ХIХ века, во многом связана с художественным миром и поэтикой гоголевских петербургских повестей.",АСТ,2018,Москва,русский,Мягкая обложка,76х100 1/32,180x115x17,215 гр.,352,5000 экз.,952785,ASE000000000839527,978-5-17-111395-7,19.10.2018,,,,,,,,,,,
943320,Достоевский Ф. М.,Идиот. В 2 томах,https://moscowbooks.ru/image/book/615/w259/i615426.jpg,0,,True,26 460 руб.,"""Идиот"" — второй роман так называемого ""великого пятикнижия"" Ф. М. Достоевского (1821-1881), занимающий особое место в его творчестве. Роман, созданный за границей и впервые опубликованный в московском журнале ""Русский вестник"" в 1868 году, является одним из важнейших в наследии Достоевского и одним из любимых его произведений. В нем наиболее полно отразились его художественные принципы 1860-х годов и его философская позиция.Комментарии к роману написаны специалистом по творчеству Достоевского Б. Н. Тихомировым, ему же принадлежит статья ""Петербургские маршруты героев романа ""Идиот"""", в которой впервые рассмотрена художественная топография романа. Серия иллюстраций создана известным петербургским художником М. А. Гавричковым специально для настоящего издания.Экземпляр изготовлен в переплёте из чёрной кожи с трёхсторонним золотым обрезом, пронумерован, снабжен подарочным футляром и содержит два оригинальных офорта Михаила Гавричкова (печатник Александр Михайлов).",,2018,СПб,русский,Твердый переплет+футляр+зол.обрез,70х100 1/16,245x176x70,2930 гр.,512,800 экз.,943320,,978-5-93898-668-8,27.09.2018,,,,,,,,,,,
937954,Достоевский Ф. М.,Преступление и наказание. Идиот,https://moscowbooks.ru/image/book/610/w259/i610742.jpg,0,,True,6 318 руб.,"Романы «Преступление и наказание», «Идиот», наряду с «Бесами» «Подростком» и «Братьями Карамазовыми», входят в так называемое «пятикнижие» Ф. М. Достоевского: их роль в мировой литературе сравнивают по значимости с первыми пятью книгами Библии — Пятикнижием Моисея. Глубоко социальные и в тоже время трактующие о фундаментальных вопросах бытия, эти романы во многом изменили наши представления о возможностях литературы и природе человека. Первым из этих великих произведений Достоевского стал роман «Преступление и наказание» (1866). Он был задуман как «психологический отчет одного преступления», однако писатель далеко отступил от первоначальных планов, заставив читателя размышлять о грехе и искуплении, о границах дозволенного, о духовной смерти и воскресении. Основную идею романа «Идиот» (1868) Достоевский сформулировал так: «…Изобразить положительно прекрасного человека. Труднее этого нет ничего на свете, а особенно теперь». «Князь-Христос» выходит на проповедь, и в его слова Достоевский вкладывает свои заветные мысли о русской душе и вере.Ограниченный тираж.",,2018,СПб,русский,Кожаный переплет,60х90 1/16,215x145x50,1220 гр.,1120,,937954,978-5-389-14380-7,,21.08.2018,,Углубленное тиснение (красочное плоскоуглубленное изображение),Офсетная,Рисованный,,,,,,,
931513,Достоевский Ф. М.,Бобок,https://moscowbooks.ru/image/book/605/w259/i605231.jpg,0,,True,336 руб.,"""Бобок"" — фантастический рассказ Фёдора Достоевского, опубликованный в составе ""Дневника писателя"" в феврале 1873 года в газете ""Гражданин"".",ТомСувенир,2017,Томск,русский/английский,Твердый переплет+суперобложка,62х94 1/128,,40 гр.,176,250 экз.,931513,,978-5-906044-41-9,14.06.2018,,,,,,русский,Garnett C.,,,,
1008649,Роллинс Дж.,Алтарь Эдема,https://moscowbooks.ru/image/book/672/w259/i672318.jpg,0,,True,184 руб.,"После жесточайшего урагана пограничная служба обнаружила в дельте Миссисипи потерпевший крушение траулер. Но странное дело, на судне нет ни одного человека команды, зато в трюме пограничники находят удивительный груз — попугая в клетке, умеющего вычислять число «пи», детеныша саблезубого ягуара, питона, обладающего конечностями, и множество других невероятных животных, словно бы явившихся в наше время из каких-то доисторических эпох. Для того чтобы разобраться с находкой, на судно приглашают ученого специалиста из Нового Орлеана. Лорна Полк еще не приступила к исследованиям, как на траулере и вокруг него начинают происходить странные и страшные события.",Эксмо,2019,Москва,русский,Мягкая обложка,70х100 1/32,165x112x20,225 гр.,512,2000 экз.,1008649,ITD000000000604796,978-5-699-80076-6,20.09.2019,,,,,,английский,Филонов А. В.,,,,
982689,Роллинс Дж.,Пекло,https://moscowbooks.ru/image/book/649/w259/i649208.jpg,0,,True,504 руб.,"Однажды под Рождество коммандер спецотряда ""Сигма"" Грей Пирс возвратился домой — и с ужасом понял, что в его отсутствие к нему наведывались незваные гости. И что Сейхан, любовь всей жизни Грея, беременная его ребенком, похищена. Ее лучшая подруга Кэт лежала без признаков жизни на окровавленном полу. Врачи на базе ""Сигмы"" установили, что женщина находится в коме, но мозг ее работает. Именно из него, с помощью высочайших технологий, удалось вытащить ниточку, ведущую к нападавшим. Но никто не ожидал, что эта ниточка заведет ""Сигму"" очень, очень далеко — аж во времена Святой инквизиции и охоты на ведьм…",Эксмо,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x28,510 гр.,464,15000 экз.,982689,ITD000000000953451,978-5-04-101015-7,22.03.2019,,,,,,английский,Белышева О.,,,,
934155,Роллинс Дж.,Ключ Судного дня,https://moscowbooks.ru/image/book/607/w259/i607493.jpg,0,,True,184 руб.,"В Риме в соборе Святого Петра погибает от взрыва археолог из Ватикана. Перед смертью он успевает спрятать среди реликвий собора древний кожаный мешочек, в котором, как он надеется, заключено спасение человечества... В лаборатории Принстонского университета убит известный ученый-генетик... В Африке в лагере Красного Креста застрелен сын американского сенатора... Три убийства на трех континентах, и все три жертвы помечены выжженным на их плоти древним друидическим крестом. Коммандеру Грею Пирсону и его соратникам из спецотряда ""Сигма"" предстоит выяснить, что связывало этих людей, и попытаться спасти человечество от приближающегося Армагеддона.",Эксмо,2018,Москва,русский,Мягкая обложка,70х100 1/32,165x120,295 гр.,640,4000 экз.,934155,ITD000000000203746,978-5-699-57881-8,13.07.2018,,,,,,английский,Саксина С. М.,,,,
755698,Роллинс Дж.,Кровавое Евангелие,https://moscowbooks.ru/image/book/472/w259/i472164.jpg,0,,True,184 руб.,"Сильное землетрясение в районе древней израильской крепости Масада обнажило неизвестное захоронение, сокрытое в недрах горы. На осмотр находки прибыли трое специалистов — сержант спецназа США Джордан Стоун, священник из Ватикана Рун Корца и археолог Эрин Грейнджер. Захоронение оказалось частью подземного храма с таинственным саркофагом. Сохранившиеся знаки свидетельствовали о том, что некогда здесь была спрятана священная книга. По легенде, Иисус Христос начертал ее собственной кровью, заключив в ней тайну своей божественности…",Эксмо,2014,Москва,русский,Мягкая обложка,70х100 1/32,165x120,375 гр.,800,7000 экз.,755698,ITD000000000343237,978-5-699-74295-0,26.08.2014,,,,,,английский,Вейсберг Ю.,,,,
747003,Роллинс Дж.,Линия крови,https://moscowbooks.ru/image/book/465/w259/i465741.jpg,0,,True,184 руб.,"Дочь президента США Аманда Гант бесследно исчезла с борта собственной яхты, подвергшейся нападению в районе Сейшельских островов. Следы ведут к древней и могущественной организации, известной как ""Гильдия"", с которой давно борется секретная спецгруппа ""Сигма"". Ее директору Пейнтеру Кроу становится известно, что некоторое время назад Аманда забеременела в результате искусственного оплодотворения, а совсем недавно получила анонимное предостережение об опасности, угрожающей ей и ее плоду. Но чего хочет ""Гильдия""? И, в то время как бойцы ""Сигмы"" во главе с Греем Пирсом ищут пропавшую, Кроу собирает информацию, связанную с беременностью Аманды. Похитителям явно нужен именно ее неродившийся ребенок. Ибо в нем сокрыта одна из самых важных тайн человечества, обладающий которой способен сравняться с самим Богом…",Эксмо,2014,Москва,русский,Мягкая обложка,70х100 1/32,165x120,295 гр.,640,7000 экз.,747003,ITD000000000324025,978-5-699-73004-9,27.06.2014,,,,,,английский,Рейн Н. В.,,,,
1009946,Фицджеральд Ф. С.,Все романы в одном томе,https://moscowbooks.ru/image/book/673/w259/i673351.jpg,0,,True,647 руб.,"Под одной обложкой представлены ВСЕ РОМАНЫ классика американской литературы Фрэнсиса Скотта Фицджеральда. От ранних, ироничных и печальных произведений ""По эту сторону рая"" и ""Прекрасные и обреченные"", своеобразных манифестов молодежи ""века джаза"", до поздних признанных шедевров — ""Великий Гэтсби"", ""Ночь нежна"" и ""Последний магнат"". Глубокая, очень разная по содержанию проза об искрометной жажде жизни, манящей и ускользающей любви, волнующей погоне за мечтой и вечном празднике, который в любой момент может обернуться трагедией.",АСТ,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x55,1075 гр.,1216,3000 экз.,1009946,ASE000000000846618,978-5-17-118245-8,27.09.2019,,,,,,английский,,,,,
1007343,Фицджеральд Ф. С.,Заметки о моем поколении,https://moscowbooks.ru/image/book/670/w259/i670918.jpg,0,,True,558 руб.,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Книга ""Заметки о моем поколении"" представляет признанного мастера тонкого психологизма сразу с многих сторон: здесь и не переиздававшаяся без малого век автобиографическая повесть ""Странствие Самоходной Развалюхи"", и полное собрание статей, виртуозно балансирующих на грани между художественной прозой и документальной, и подборка стихотворений, и единственная в его творческом наследии полноценная пьеса — ""Размазня, или Из Президентов в почтальоны""… Большинство представленных в сборнике произведений переведены впервые, а немногие старые переводы тщательно отредактированы и восстановлены.",КоЛибри; Азбука-Аттикус,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x28,670 гр.,544,3000 экз.,1007343,А0000015751,978-5-389-08828-3,13.09.2019,,,,,,английский,,,,,
1007342,Фицджеральд Ф. С.,Заметки о моем поколении,https://moscowbooks.ru/image/book/670/w259/i670918.jpg,5,,True,558 руб.,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Книга ""Заметки о моем поколении"" представляет признанного мастера тонкого психологизма сразу с многих сторон: здесь и не переиздававшаяся без малого век автобиографическая повесть ""Странствие Самоходной Развалюхи"", и полное собрание статей, виртуозно балансирующих на грани между художественной прозой и документальной, и подборка стихотворений, и единственная в его творческом наследии полноценная пьеса — ""Размазня, или Из Президентов в почтальоны""… Большинство представленных в сборнике произведений переведены впервые, а немногие старые переводы тщательно отредактированы и восстановлены.",КоЛибри; Азбука-Аттикус,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x28,670 гр.,544,3000 экз.,1007342,А0000015751,978-5-389-08828-3,13.09.2019,,,,,,английский,,,,,
